City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
258,ola,59.5833,151.2833,279.9,88,100,13.59,RU,1695163702
259,berdigestyakh,62.0989,126.6992,272.71,68,14,1.58,RU,1695163702
260,eyl,7.9803,49.8164,298.39,84,25,8.91,SO,1695163703
261,mejit,10.2753,170.8646,301.75,75,73,6.91,MH,1695163703
262,breves,-1.6822,-50.4803,303.01,45,52,2.66,BR,1695163703
263,bontang,0.1333,117.5,298.04,91,89,3.4,ID,1695163409
264,santa catalina,9.3337,122.8637,300.28,82,87,0.53,PH,1695163703
265,prado,-17.3411,-39.2208,296.64,84,8,4.24,BR,1695163478
266,nova sintra,14.8667,-24.7167,297.27,83,93,1.89,CV,1695163704
267,boa vista,2.8197,-60.6733,304.14,55,20,2.57,BR,1695163704
268,shenkursk,62.1091,42.896,283.82,79,100,5.53,RU,1695163704
269,sulak,43.2734,47.5146,292.71,75,0,8.32,RU,1695163705
270,acarau,-2.8856,-40.12,299.61,80,11,8.54,BR,1695163705
271,island harbour,50.724,-1.2758,292.0,89,100,5.36,GB,1695163705
272,vila do maio,15.1333,-23.2167,300.59,88,77,5.08,CV,1695163705
273,okondja,-0.6549,13.6753,296.14,91,73,0.27,GA,1695163705
274,uliastay,47.7417,96.8444,279.8,51,100,2.54,MN,1695163706
275,champerico,14.3,-91.9167,307.45,69,98,3.12,GT,1695163706
276,afaahiti,-17.75,-149.2833,300.08,75,91,7.16,PF,1695163706
277,holualoa,19.6228,-155.9522,300.68,78,40,4.63,US,1695163706
278,lepsy,46.235,78.9456,290.91,47,100,3.16,KZ,1695163707
279,vadso,70.0744,29.7487,276.64,80,75,4.63,NO,1695163707
280,arboletes,8.8505,-76.4269,300.61,83,88,3.44,CO,1695163707
281,kargasok,59.0556,80.8572,282.43,94,18,3.2,RU,1695163707
282,horta,38.5333,-28.6333,295.88,93,61,7.43,PT,1695163708
283,san felipe,10.3399,-68.7425,300.04,70,67,1.37,VE,1695163708
284,sycow,51.3081,17.7198,287.87,68,79,3.07,PL,1695163708
285,bubaque,11.2833,-15.8333,299.79,81,100,4.95,GW,1695163708
286,hirtshals,57.5881,9.9592,287.48,84,90,9.23,DK,1695163709
287,sharm el-sheikh,27.8518,34.305,304.23,42,0,3.09,EG,1695163709
288,minas de marcona,-15.2119,-75.1103,288.71,75,3,5.04,PE,1695163709
289,la passe,45.5549,-0.8967,289.81,84,41,3.04,FR,1695163710
290,zaozersk,69.4005,32.4476,276.65,69,100,5.15,RU,1695163710
291,bikenibeu village,1.3673,173.1241,303.13,79,40,2.06,KI,1695163710
292,sikonge,-5.6333,32.7667,297.06,46,99,1.2,TZ,1695163710
293,gandi,12.9636,5.7434,298.13,71,55,1.65,NG,1695163710
294,oranjemund,-28.55,16.4333,286.13,83,11,2.04,NA,1695163711
295,cannonvale,-20.2833,148.7,297.81,71,77,2.51,AU,1695163711
296,anna regina,7.2644,-58.5077,301.2,76,82,4.28,GY,1695163711
297,callaway,30.153,-85.5699,304.18,51,1,1.34,US,1695163712
298,vilyuchinsk,52.9306,158.4028,283.3,96,100,7.45,RU,1695163712
299,luanda,-8.8368,13.2343,296.15,88,40,2.57,AO,1695163712
300,port moresby,-9.4431,147.1797,297.83,94,75,1.54,PG,1695163630
301,kailua-kona,19.6406,-155.9956,302.75,78,40,4.63,US,1695163568
302,ponta delgada,37.7333,-25.6667,295.55,83,75,5.66,PT,1695163713
303,luderitz,-26.6481,15.1594,286.37,80,8,7.32,NA,1695163713
304,longboat key,27.4125,-82.659,303.81,41,0,5.14,US,1695163509
305,kolonia,50.9333,6.95,291.94,69,40,4.12,DE,1695163460
306,falun,60.6036,15.626,283.38,91,84,3.46,SE,1695163714
307,corfu,39.62,19.9197,296.03,83,20,0.0,GR,1695163715
308,uhrichsville,40.3931,-81.3465,294.16,65,20,2.57,US,1695163715
309,la palma,33.8464,-118.0467,303.25,60,20,4.92,US,1695163715
310,heroica caborca,30.7167,-112.15,310.05,15,0,6.34,MX,1695163576
311,antonio enes,-16.2325,39.9086,296.11,87,0,1.54,MZ,1695163716
312,panaba,21.2833,-88.2667,301.2,74,91,4.53,MX,1695163716
313,tidjikja,18.5564,-11.4271,307.39,25,29,4.64,MR,1695163716
314,butembo,0.15,29.2833,286.8,97,28,0.98,CD,1695163717
315,tazacorte,28.629,-17.9293,294.69,78,20,4.63,ES,1695163717
316,luau,-10.7073,22.2247,295.25,49,93,2.01,AO,1695163717
317,taraz,42.9,71.3667,286.38,82,100,1.0,KZ,1695163717
318,haimen,23.1935,116.6142,297.09,83,0,1.48,CN,1695163718
319,mbandaka,0.0487,18.2603,295.5,86,57,1.28,CD,1695163600
320,tsetserleg,47.475,101.4542,277.06,65,77,1.99,MN,1695163718
321,valentin gomez farias,28.2167,-106.5833,297.87,47,42,6.88,MX,1695163718
322,tuy hoa,13.0833,109.3,298.76,90,72,1.18,VN,1695163719
323,saint-francois,46.4154,3.9054,285.84,100,0,1.54,FR,1695163719
324,viedma,-40.8135,-62.9967,279.43,89,100,7.24,AR,1695163719
325,leavenworth,39.2333,-95.0336,300.74,55,100,0.45,US,1695163429
326,palmas,-10.2128,-48.3603,304.08,37,0,0.0,BR,1695163462
327,santa terezinha,-29.9002,-50.0904,291.61,98,100,5.39,BR,1695163720
328,castillos,-34.1667,-53.8333,286.03,95,100,6.27,UY,1695163720
329,takoradi,4.8845,-1.7554,297.91,91,93,2.98,GH,1695163720
330,elko,41.0002,-115.5012,299.35,21,99,6.71,US,1695163720
331,mikuni,36.2171,136.1519,298.1,84,100,1.95,JP,1695163721
332,ocher,57.8904,54.7202,278.04,78,100,1.9,RU,1695163721
333,sisimiut,66.9395,-53.6735,274.99,72,9,3.65,GL,1695163721
334,lakatoro,-16.0999,167.4164,300.66,79,13,5.21,VU,1695163721
335,al bawiti,28.3492,28.8659,297.68,55,0,2.74,EG,1695163721
336,kapuskasing,49.4169,-82.4331,290.2,36,20,1.03,CA,1695163722
337,griffith,41.5284,-87.4237,291.42,88,0,3.09,US,1695163722
338,conde,-7.2597,-34.9075,296.85,100,75,3.09,BR,1695163722
339,rakhiv,48.0526,24.2009,288.43,98,100,0.73,UA,1695163722
340,ban nong wua so,17.2675,103.2247,298.12,93,51,1.11,TH,1695163723
341,nis,43.7031,7.2661,295.05,78,75,3.09,FR,1695163568
342,timimoun,29.2639,0.231,306.36,11,0,3.09,DZ,1695163723
343,rath,25.5833,79.5667,301.65,75,90,1.1,IN,1695163723
344,kabansk,52.0486,106.6528,281.73,78,65,1.72,RU,1695163723
345,howard springs,-12.497,131.047,299.75,70,67,1.72,AU,1695163724
346,pontcharra,45.4333,6.0167,291.01,92,3,1.41,FR,1695163724
347,colonia,50.9333,6.95,291.94,70,40,4.12,DE,1695163551
348,ar raqqah,35.95,39.0167,299.53,25,0,1.79,SY,1695163724
349,springbok,-29.6643,17.8865,280.13,93,79,2.04,ZA,1695163725
350,messini,37.0511,22.0078,297.14,83,8,1.54,GR,1695163725
351,stephenville,32.2207,-98.2023,307.73,31,0,6.17,US,1695163657
352,cananeia,-25.0147,-47.9267,294.18,95,56,4.65,BR,1695163725
353,lata,40.1629,-8.3327,288.66,93,47,0.35,PT,1695163725
354,codrington,-38.2667,141.9667,284.32,63,96,7.22,AU,1695163726
355,pyay,18.8167,95.2167,296.93,98,97,2.57,MM,1695163726
356,baardheere,2.3446,42.2764,298.19,69,75,6.67,SO,1695163726
357,banlung,13.7468,107.0045,295.37,99,94,0.64,KH,1695163726
358,arraial do cabo,-22.9661,-42.0278,295.07,88,0,7.2,BR,1695163577
359,la'ie,21.6477,-157.9253,305.13,67,82,5.36,US,1695163727
360,hilo,19.7297,-155.09,301.07,78,100,2.06,US,1695163727
361,inirida,3.8653,-67.9239,299.02,84,76,0.99,CO,1695163727
362,rikaze,29.25,88.8833,284.51,62,99,2.71,CN,1695163728
